school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,G1,G2,G3
GP,M,15,U,LE3,A,4,2,health,health,11,11,10
GP,F,15,U,GT3,T,4,4,services,services,8,10,11
GP,F,15,U,LE3,A,3,3,other,other,10,13,13
GP,F,16,U,GT3,A,2,1,other,other,8,9,10
GP,F,15,U,GT3,A,4,3,services,services,14,15,15
GP,M,15,U,GT3,T,4,4,teacher,health,14,15,15
GP,F,16,U,GT3,T,4,2,services,other,15,16,16
GP,F,16,R,GT3,T,4,4,health,teacher,10,11,11
GP,F,16,U,GT3,T,1,1,services,services,10,8,11
GP,F,16,U,LE3,T,1,2,other,services,8,10,9
GP,F,16,U,GT3,T,4,3,teacher,health,10,9,9
GP,F,15,U,LE3,T,4,3,services,services,10,10,10
GP,F,16,U,LE3,T,4,3,teacher,services,16,15,15
GP,M,15,U,GT3,A,4,4,other,services,13,13,12
GP,F,16,U,GT3,T,3,1,services,other,7,7,6
GP,F,15,R,LE3,T,2,2,health,services,8,9,8
GP,F,15,R,LE3,T,3,1,other,other,16,16,16
GP,M,16,U,GT3,T,3,1,other,other,13,15,15
GP,M,15,U,GT3,T,4,2,other,other,10,10,10
GP,F,15,R,GT3,T,1,1,other,other,8,6,5
GP,M,16,U,GT3,T,3,1,other,other,12,12,14
GP,F,16,U,GT3,T,3,3,other,services,11,12,11
GP,M,15,U,GT3,T,4,3,teacher,other,9,9,10
GP,M,15,U,GT3,T,4,0,teacher,other,11,11,10
GP,F,16,U,GT3,T,2,2,other,other,11,11,11
GP,M,17,U,GT3,T,2,1,other,other,8,8,10
GP,M,15,U,GT3,T,2,3,other,services,10,12,12
GP,M,15,U,GT3,T,2,3,other,other,11,10,11
GP,F,15,U,LE3,T,3,2,services,other,7,6,6
GP,M,15,U,LE3,T,2,2,services,services,15,15,15
GP,F,15,U,GT3,T,1,1,other,other,9,10,10
GP,F,15,U,GT3,T,4,4,services,services,7,9,8
GP,F,15,U,GT3,T,4,2,other,other,13,14,14
GP,M,16,U,GT3,T,2,2,services,other,11,10,10
GP,M,16,U,LE3,A,4,4,teacher,health,8,6,7
GP,F,16,U,GT3,T,3,3,other,other,7,7,8
GP,F,15,U,GT3,T,4,3,services,other,16,17,18
GP,F,16,U,LE3,T,3,1,other,other,7,6,6
GP,F,16,U,GT3,T,4,2,teacher,services,11,10,10
GP,M,15,U,LE3,T,2,2,services,health,11,13,14
GP,M,16,R,GT3,T,4,3,services,other,11,15,15
GP,F,16,U,GT3,T,2,1,other,other,8,9,10
GP,F,16,U,GT3,T,4,4,other,other,11,14,14
GP,M,16,U,GT3,T,4,4,services,services,7,7,5
GP,M,16,U,GT3,T,4,4,services,teacher,16,17,17
GP,M,15,U,GT3,T,4,4,services,other,10,13,14
GP,F,15,U,GT3,T,3,2,services,other,7,6,6
GP,M,15,U,GT3,A,3,4,services,other,16,18,18
GP,F,15,U,GT3,A,3,3,other,health,10,11,11
GP,F,15,U,GT3,T,2,2,other,other,7,8,8
GP,M,16,U,GT3,T,3,3,services,other,16,18,18
GP,M,15,R,GT3,T,4,4,other,other,10,13,13
GP,F,16,U,LE3,T,4,4,health,health,14,15,16
GP,M,15,U,LE3,A,4,4,teacher,teacher,18,19,19
GP,F,16,R,GT3,T,3,3,services,other,7,10,10
GP,M,15,U,LE3,T,4,2,teacher,other,18,19,19
GP,M,15,R,GT3,T,2,1,health,services,9,9,9
GP,M,16,U,GT3,T,4,4,teacher,teacher,15,15,16
GP,M,15,U,GT3,T,4,4,other,teacher,11,13,14
GP,M,16,U,GT3,T,3,3,other,services,13,14,13
GP,M,17,R,GT3,T,1,3,other,other,9,7,8
GP,M,15,U,GT3,T,3,4,other,other,14,13,13
GP,M,15,U,GT3,T,2,2,services,services,16,14,15
GP,F,16,U,LE3,T,2,4,other,health,13,13,13
GP,M,16,U,GT3,T,4,4,health,other,14,11,13
GP,F,16,U,GT3,T,2,2,other,other,8,7,8
GP,M,15,U,GT3,T,3,4,services,services,13,13,12
GP,F,15,U,LE3,A,3,4,other,other,7,10,11
GP,M,18,R,GT3,T,2,2,services,other,7,4,0
GP,M,16,R,GT3,T,4,4,teacher,teacher,18,18,18
GP,F,15,R,GT3,T,3,4,services,teacher,12,0,0
GP,F,17,U,LE3,T,2,2,other,other,10,13,12
GP,F,16,U,GT3,A,3,4,services,other,12,11,11
GP,F,16,U,GT3,A,3,3,other,other,4,0,0
GP,M,16,U,LE3,T,1,1,services,other,14,12,12
GP,F,15,U,GT3,T,4,4,teacher,teacher,16,16,15
GP,M,15,U,GT3,T,4,3,teacher,services,7,9,0
GP,M,16,U,LE3,T,2,2,services,services,9,9,9
GP,F,15,U,GT3,T,4,4,teacher,services,9,11,11
GP,M,17,U,GT3,T,2,1,other,other,5,0,0
GP,F,15,U,GT3,T,1,1,other,services,8,11,11
GP,F,15,U,GT3,T,3,2,health,services,6,7,0
GP,M,16,U,GT3,T,4,4,teacher,teacher,7,6,0
GP,M,15,U,LE3,A,2,1,services,other,8,9,10
GP,M,18,U,LE3,T,1,1,other,other,6,5,0
GP,F,15,R,GT3,T,3,3,services,services,10,10,10
GP,F,17,U,GT3,T,4,4,other,teacher,11,11,12
GP,M,17,R,LE3,T,1,2,other,other,16,12,13
GP,M,16,U,GT3,T,3,3,other,services,10,12,12
GP,M,15,R,GT3,T,3,2,other,other,5,9,7
GP,M,16,U,LE3,T,1,2,other,other,7,0,0
GP,M,17,R,LE3,T,1,1,other,services,5,8,7
GP,M,16,U,GT3,T,3,2,services,services,12,11,12
GP,M,16,U,GT3,T,2,2,other,other,10,10,10
GP,F,16,U,GT3,T,4,2,health,services,14,15,16
GP,F,16,U,GT3,T,2,2,other,other,6,7,0
GP,F,16,U,GT3,T,4,4,health,health,14,14,14
GP,M,16,U,GT3,T,3,4,other,other,6,5,0
GP,M,16,U,GT3,T,1,0,other,other,13,15,16
GP,M,17,U,LE3,T,4,4,teacher,other,13,11,10
GP,F,16,U,LE3,T,3,3,other,other,10,11,9
GP,M,17,U,LE3,T,4,3,teacher,other,10,9,9
GP,F,16,U,GT3,T,2,2,services,other,13,13,11
GP,M,17,U,GT3,T,3,3,other,other,6,5,6
GP,M,16,R,GT3,T,4,2,teacher,services,10,8,9
GP,M,17,U,GT3,T,4,3,other,other,10,10,11
GP,M,16,U,GT3,T,4,3,teacher,other,9,8,8
GP,M,16,U,GT3,T,3,3,services,other,12,13,12
GP,F,17,U,GT3,T,2,4,services,services,16,17,17
GP,F,17,U,LE3,T,3,3,other,other,9,9,8
GP,F,16,U,GT3,T,3,2,other,other,12,13,12
GP,M,17,U,GT3,T,3,3,services,services,12,12,11
GP,M,16,U,GT3,T,1,2,services,services,11,12,11
GP,M,16,U,LE3,T,2,1,other,other,15,15,15
GP,F,17,U,GT3,A,3,3,health,other,8,7,9
GP,F,16,U,GT3,T,2,3,services,services,11,12,13
GP,M,16,R,GT3,T,3,3,services,services,8,9,10
GP,M,16,U,GT3,T,2,3,other,other,13,14,14
GP,F,17,U,LE3,T,2,4,services,services,14,15,15
GP,M,17,U,GT3,T,4,4,services,teacher,17,15,16
GP,M,16,R,LE3,T,3,3,teacher,other,9,9,10
GP,F,17,U,GT3,T,4,4,services,teacher,18,18,18
GP,F,16,U,LE3,T,4,4,teacher,teacher,9,9,10
GP,F,16,U,GT3,T,4,3,health,other,16,16,16
GP,F,16,U,GT3,T,2,3,other,other,8,10,10
GP,F,17,U,GT3,T,1,1,other,other,9,9,10
GP,F,17,R,GT3,T,2,2,other,other,7,6,6
GP,F,16,R,GT3,T,2,2,services,services,10,10,11
GP,F,16,U,GT3,A,3,1,services,other,7,7,7
GP,F,16,U,GT3,T,4,3,teacher,other,11,12,13
GP,F,17,R,GT3,T,4,3,teacher,other,7,7,7
GP,F,19,U,GT3,T,3,3,other,other,8,8,8
GP,M,17,U,LE3,T,4,4,services,other,12,12,13
GP,F,16,U,GT3,A,2,2,other,other,12,13,14
GP,M,18,U,GT3,T,2,2,services,other,6,7,8
GP,F,17,R,LE3,T,4,4,services,other,8,10,10
GP,F,17,U,LE3,T,3,2,other,other,14,15,15
GP,F,17,U,GT3,T,4,3,other,other,6,6,4
GP,M,18,U,LE3,T,3,3,services,health,6,6,8
GP,F,16,U,GT3,T,2,3,services,teacher,16,16,17
GP,M,18,U,GT3,T,2,2,other,other,12,13,13
GP,F,16,U,GT3,T,4,4,teacher,services,13,13,14
GP,F,18,R,GT3,T,3,1,other,other,9,8,7
GP,F,17,U,GT3,T,3,2,other,other,16,15,15
GP,M,17,U,LE3,T,2,3,services,services,12,11,12
GP,F,17,U,GT3,A,2,1,other,other,12,10,12
GP,F,17,U,LE3,T,4,3,health,other,13,13,14
GP,M,17,R,GT3,T,2,2,other,other,11,11,11
GP,M,17,U,GT3,T,4,4,teacher,teacher,11,9,9
GP,M,16,U,GT3,T,4,4,health,other,14,13,13
GP,M,16,U,LE3,T,1,1,other,other,9,7,6
GP,M,17,U,LE3,T,2,2,other,other,14,13,13
GP,F,16,U,GT3,T,2,1,other,other,13,12,12
GP,M,18,U,GT3,T,2,2,other,services,7,7,0
GP,M,17,U,LE3,T,4,3,health,other,12,12,12
GP,M,17,R,LE3,A,4,4,teacher,other,10,11,12
GP,M,16,U,LE3,T,4,3,teacher,other,6,0,0
GP,M,16,U,GT3,T,4,4,services,services,13,12,12
GP,F,18,U,GT3,T,2,1,other,other,7,0,0
GP,M,16,U,GT3,T,2,1,other,other,18,18,18
GP,M,17,U,GT3,T,2,3,other,other,12,12,13
GP,M,22,U,GT3,T,3,1,services,services,6,8,8
GP,M,18,R,LE3,T,3,3,other,services,3,5,5
GP,M,16,U,GT3,T,0,2,other,other,13,15,15
GP,M,18,U,GT3,T,3,2,services,other,6,8,8
GP,M,18,U,GT3,T,2,1,services,services,6,9,8
GP,M,16,R,GT3,T,2,1,other,other,8,9,8
GP,M,17,R,GT3,T,2,1,other,other,8,12,12
GP,M,17,U,LE3,T,1,1,health,other,7,9,8
GP,F,17,U,LE3,T,4,2,teacher,services,14,12,13
GP,M,18,U,GT3,T,2,1,other,other,15,14,14
GP,F,17,U,LE3,T,2,2,services,services,10,9,0
GP,F,18,U,GT3,T,4,3,services,other,17,18,18
GP,M,18,U,GT3,T,4,3,teacher,other,8,8,8
GP,M,18,R,GT3,T,3,2,other,other,13,12,12
GP,F,17,U,GT3,T,3,3,other,other,10,9,9
GP,M,18,R,LE3,A,3,4,other,other,17,17,17
GP,M,17,U,GT3,T,3,1,services,other,9,9,10
GP,F,18,R,GT3,T,4,4,teacher,other,12,10,11
GP,M,18,U,GT3,T,4,2,health,other,10,9,10
GP,F,18,R,GT3,T,2,1,other,other,6,0,0
GP,F,19,U,GT3,T,3,3,other,services,9,9,9
GP,F,18,U,GT3,T,2,3,other,services,15,14,14
GP,F,18,U,LE3,T,1,1,other,other,11,11,11
GP,F,17,U,LE3,T,2,2,services,other,12,12,12
GP,F,18,R,GT3,A,3,2,other,services,10,9,9
GP,M,18,U,GT3,T,4,4,teacher,services,9,9,9
GP,F,18,U,GT3,T,4,4,health,health,9,8,8
GP,M,18,U,LE3,T,4,3,teacher,services,10,11,10
GP,M,17,U,LE3,A,4,1,services,other,8,8,8
GP,M,17,U,LE3,A,3,2,teacher,services,11,9,10
GP,F,18,U,GT3,T,1,1,other,other,8,9,10
GP,F,17,U,GT3,T,2,2,other,other,10,9,11
GP,M,17,U,GT3,T,1,1,other,other,12,10,11
GP,F,17,U,GT3,T,1,1,services,teacher,13,12,12
GP,M,18,U,GT3,T,2,1,services,services,15,14,14
GP,M,18,U,LE3,A,4,4,teacher,teacher,15,13,15
GP,M,18,U,GT3,T,4,2,teacher,other,12,11,11
GP,F,17,U,GT3,T,4,3,health,services,15,15,15
GP,F,17,R,LE3,T,3,1,services,other,18,18,18
GP,M,18,R,LE3,T,3,2,services,other,14,13,14
GP,M,17,U,GT3,T,3,3,health,other,14,12,11
GP,F,19,U,GT3,T,4,4,health,other,10,9,0
GP,F,18,U,LE3,T,4,3,other,other,10,8,8
GP,F,18,U,GT3,T,4,3,other,other,14,13,14
GP,M,18,U,LE3,T,4,4,teacher,teacher,16,15,16
GP,F,18,U,LE3,A,4,4,health,other,12,10,11
GP,M,17,U,LE3,T,4,4,other,teacher,11,11,10
GP,F,17,U,GT3,T,4,2,other,other,15,12,14
GP,F,17,U,GT3,T,3,2,health,health,17,17,18
GP,M,19,U,GT3,T,3,3,other,other,15,14,13
GP,M,20,U,GT3,A,3,2,services,other,17,18,18
GP,M,19,U,GT3,T,4,4,teacher,services,8,9,8
GP,M,19,R,GT3,T,3,3,other,services,15,12,12
GP,F,19,U,LE3,T,1,2,services,services,9,9,0
GP,M,19,U,GT3,T,1,2,other,services,13,11,11
GP,F,19,U,LE3,T,3,2,services,other,13,10,11
GP,F,19,R,GT3,T,2,3,other,other,13,11,11
GP,F,18,U,GT3,T,2,1,services,other,8,8,0
GP,F,18,U,GT3,T,4,3,other,other,9,10,9
GP,F,18,U,GT3,T,4,4,teacher,other,11,11,11
GP,F,17,U,GT3,A,4,3,services,services,13,13,13
GP,F,17,U,GT3,T,2,2,other,other,11,9,9
GP,F,17,R,LE3,T,2,2,services,services,11,11,11
GP,F,17,U,GT3,T,3,1,services,services,12,14,15
GP,M,18,U,GT3,T,4,4,other,other,9,12,11
GP,M,17,U,GT3,T,3,3,other,services,14,15,16
GP,M,17,R,GT3,T,2,2,services,other,11,10,10
GP,F,17,U,GT3,T,4,4,teacher,services,10,9,9
GP,F,17,U,GT3,T,4,4,teacher,teacher,14,14,14
GP,M,18,U,LE3,T,2,2,other,other,9,8,8
GP,F,18,U,GT3,T,3,3,services,services,7,0,0
GP,F,18,U,LE3,T,2,2,other,other,8,8,0
GP,F,17,U,GT3,T,3,4,services,other,16,15,15
GP,F,17,U,GT3,T,3,2,other,other,7,8,0
GP,F,18,U,LE3,T,3,3,services,services,16,15,17
GP,F,17,R,GT3,A,3,2,other,other,9,10,10
GP,F,19,U,GT3,T,2,1,services,services,11,12,11
GP,M,18,U,GT3,T,4,4,teacher,services,10,10,0
GP,M,18,U,LE3,T,3,4,services,other,16,15,15
GP,F,18,U,GT3,T,3,2,other,services,13,13,14
GP,M,18,R,GT3,T,4,3,teacher,services,16,15,16
GP,M,18,U,GT3,T,4,3,teacher,other,10,10,9
GP,F,17,U,GT3,T,4,3,health,other,13,15,15
MS,M,18,R,GT3,T,3,2,other,other,11,13,13
MS,M,19,R,GT3,T,1,1,other,services,8,7,8
MS,M,17,U,GT3,T,3,3,health,other,13,13,13
MS,M,19,R,GT3,T,1,1,other,other,8,8,8
MS,M,17,R,GT3,T,4,3,services,other,13,11,11
MS,F,18,U,GT3,T,3,3,services,services,10,9,9
MS,F,17,R,GT3,T,4,4,teacher,services,12,13,13
MS,F,17,U,LE3,A,3,2,services,other,12,12,11
MS,M,18,U,LE3,T,1,1,other,services,10,10,10
MS,F,18,U,GT3,T,3,3,services,services,11,11,10
MS,F,17,R,GT3,T,1,2,other,services,12,11,12
MS,M,18,U,LE3,T,4,4,teacher,services,13,13,13
MS,F,17,R,GT3,T,1,1,other,services,7,6,0
MS,F,18,R,GT3,T,4,4,other,teacher,14,12,11
MS,F,19,U,LE3,T,3,2,services,services,7,7,9
MS,F,17,R,GT3,T,1,2,other,other,6,5,5
MS,F,18,R,LE3,T,4,4,other,other,19,18,19
MS,F,18,R,GT3,T,1,1,other,other,8,8,10
MS,F,20,U,GT3,T,4,2,health,other,15,14,15
MS,F,18,R,LE3,T,4,4,teacher,services,8,9,10
MS,F,18,U,GT3,T,3,3,other,other,15,15,15
MS,M,18,U,GT3,T,4,4,teacher,teacher,15,14,14
MS,M,18,R,GT3,T,2,1,other,other,7,6,7
MS,M,17,U,GT3,T,2,3,other,services,11,11,10
MS,M,19,R,GT3,T,1,1,other,services,6,5,0
MS,M,18,R,GT3,T,4,2,other,other,6,5,5
MS,F,19,R,GT3,T,2,3,services,other,7,5,0
MS,F,18,U,LE3,T,3,1,teacher,services,7,9,8
MS,F,18,U,GT3,T,1,1,other,other,6,5,0
MS,M,20,U,LE3,A,2,2,services,services,9,9,9
MS,M,17,U,LE3,T,3,1,services,services,14,16,16
MS,M,21,R,GT3,T,1,1,other,other,10,8,7
MS,M,18,R,LE3,T,3,2,services,other,11,12,10
GP,F,15,U,GT3,T,4,2,health,services,14,14,14
GP,F,16,U,GT3,T,3,3,other,other,11,13,13
GP,M,16,U,LE3,T,4,3,services,other,12,12,13
GP,M,16,U,LE3,T,2,2,other,other,13,12,13
GP,F,17,U,GT3,A,4,4,other,teacher,10,13,13
GP,M,15,U,LE3,A,3,2,services,other,15,16,17
GP,M,15,U,GT3,T,3,4,other,other,12,12,13
GP,F,15,U,GT3,T,4,4,teacher,health,14,14,14
GP,F,15,U,GT3,T,2,1,services,other,10,12,13
GP,M,15,U,LE3,T,4,4,health,services,12,13,12
GP,M,15,U,GT3,T,4,3,teacher,other,12,12,13
GP,M,15,U,GT3,A,2,2,other,other,14,14,15
GP,F,16,U,GT3,T,4,4,health,other,17,17,17
GP,F,16,U,GT3,T,4,4,services,services,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,13,14,14
GP,M,17,U,GT3,T,3,2,services,services,8,8,7
GP,M,16,U,LE3,T,4,3,health,other,12,12,12
GP,M,15,U,GT3,T,4,3,teacher,other,12,13,14
GP,M,15,U,GT3,T,4,4,health,health,11,12,12
GP,M,16,U,LE3,T,4,2,teacher,other,12,13,14
GP,M,16,U,LE3,T,2,2,other,other,10,10,10
GP,F,15,R,GT3,T,2,4,services,health,10,11,10
GP,F,16,U,GT3,T,2,2,services,services,10,11,12
GP,M,15,U,GT3,T,2,2,other,other,11,12,12
GP,M,15,U,GT3,T,4,2,health,services,11,11,11
GP,M,16,U,LE3,A,3,4,services,other,12,12,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,12,11,12
GP,M,15,U,GT3,T,4,4,health,services,10,11,11
GP,M,15,U,GT3,T,4,4,services,services,15,15,15
GP,M,15,U,LE3,T,3,3,other,other,13,12,12
GP,M,16,U,GT3,T,3,2,other,other,12,12,12
GP,F,15,U,GT3,T,2,3,other,other,11,11,11
GP,M,15,U,LE3,T,4,3,teacher,services,14,14,14
GP,M,16,R,GT3,A,4,4,other,teacher,13,13,13
GP,F,15,R,GT3,T,3,4,services,health,11,12,12
GP,F,16,U,LE3,T,2,2,other,other,11,11,10
GP,M,15,U,LE3,T,4,4,teacher,other,10,11,11
GP,M,15,U,GT3,T,4,4,services,teacher,14,15,15
GP,M,15,U,GT3,T,2,2,services,services,9,10,10
GP,F,15,U,LE3,A,4,3,other,other,10,11,11
GP,F,16,U,LE3,A,3,3,other,services,13,12,13
GP,M,16,U,GT3,T,4,3,health,services,17,17,17
GP,M,15,U,GT3,T,4,2,teacher,other,11,12,13
GP,F,15,U,GT3,T,4,4,services,teacher,13,12,12
GP,F,16,U,LE3,T,2,2,services,services,14,13,13
GP,F,15,U,LE3,T,4,2,health,other,16,14,16
GP,M,15,U,LE3,A,4,2,health,health,10,9,9
GP,F,15,U,GT3,T,4,4,services,services,13,12,12
GP,F,15,U,LE3,A,3,3,other,other,13,12,13
GP,F,16,U,GT3,A,2,1,other,other,12,13,12
GP,F,15,U,GT3,A,4,3,services,services,15,14,15
GP,M,15,U,GT3,T,4,4,teacher,health,15,15,16
GP,F,16,U,GT3,T,4,2,services,other,16,15,16
GP,F,16,R,GT3,T,4,4,health,teacher,17,16,16
GP,F,16,U,GT3,T,1,1,services,services,10,10,16
GP,F,16,U,LE3,T,1,2,other,services,13,13,10
GP,F,16,U,GT3,T,4,3,teacher,health,14,13,13
GP,F,15,U,LE3,T,4,3,services,services,13,12,12
GP,F,16,U,LE3,T,4,3,teacher,services,16,15,16
GP,M,15,U,GT3,A,4,4,other,services,11,12,12
GP,F,16,U,GT3,T,3,1,services,other,10,9,10
GP,F,15,R,LE3,T,2,2,health,services,11,10,11
GP,F,15,R,LE3,T,3,1,other,other,15,15,15
GP,M,16,U,GT3,T,3,1,other,other,13,11,11
GP,M,15,U,GT3,T,4,2,other,other,11,9,10
GP,F,15,R,GT3,T,1,1,other,other,13,11,11
GP,M,16,U,GT3,T,3,1,other,other,13,13,14
GP,F,16,U,GT3,T,3,3,other,services,11,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,11,11,11
GP,M,15,U,GT3,T,4,0,teacher,other,12,11,11
GP,F,16,U,GT3,T,2,2,other,other,13,13,13
GP,M,17,U,GT3,T,2,1,other,other,9,9,10
GP,M,15,U,GT3,T,2,3,other,services,11,11,12
GP,M,15,U,GT3,T,2,3,other,other,10,9,9
GP,F,15,U,LE3,T,3,2,services,other,12,11,11
GP,M,15,U,LE3,T,2,2,services,services,13,12,13
GP,F,15,U,GT3,T,1,1,other,other,13,12,12
GP,F,15,U,GT3,T,4,4,services,services,12,11,12
GP,F,15,U,GT3,T,4,2,other,other,15,15,15
GP,M,16,U,GT3,T,2,2,services,other,12,10,11
GP,M,16,U,LE3,A,4,4,teacher,health,9,9,10
GP,F,16,U,GT3,T,3,3,other,other,9,11,11
GP,F,15,U,GT3,T,4,3,services,other,14,13,13
GP,F,16,U,LE3,T,3,1,other,other,12,13,12
GP,F,16,U,GT3,T,4,2,teacher,services,13,14,14
GP,M,15,U,LE3,T,2,2,services,health,11,12,12
GP,M,16,R,GT3,T,4,3,services,other,9,11,11
GP,F,16,U,GT3,T,4,4,other,other,12,13,13
GP,M,16,U,GT3,T,4,4,services,services,9,9,8
GP,M,16,U,GT3,T,4,4,services,teacher,16,16,16
GP,M,15,U,GT3,T,4,4,services,other,12,13,12
GP,F,15,U,GT3,T,3,2,services,other,11,10,10
GP,M,15,U,GT3,A,3,4,services,other,16,16,16
GP,F,15,U,GT3,A,3,3,other,health,10,10,10
GP,F,15,U,GT3,T,2,2,other,other,10,10,10
GP,M,16,U,GT3,T,3,3,services,other,13,14,14
GP,M,15,R,GT3,T,4,4,other,other,12,10,11
GP,F,16,U,LE3,T,4,4,health,health,15,15,14
GP,M,15,U,LE3,A,4,4,teacher,teacher,13,14,14
GP,F,16,R,GT3,T,3,3,services,other,11,11,11
GP,M,15,U,LE3,T,4,2,teacher,other,18,17,18
GP,M,15,R,GT3,T,2,1,health,services,10,9,10
GP,M,16,U,GT3,T,4,4,teacher,teacher,16,14,14
GP,M,15,U,GT3,T,4,4,other,teacher,16,15,16
GP,M,16,U,GT3,T,3,3,other,services,14,14,15
GP,M,17,R,GT3,T,1,3,other,other,12,11,11
GP,M,15,U,GT3,T,3,4,other,other,14,13,14
GP,M,15,U,GT3,T,2,2,services,services,14,13,13
GP,F,16,U,LE3,T,2,4,other,health,14,12,13
GP,M,16,U,GT3,T,4,4,health,other,12,13,13
GP,F,16,U,GT3,T,2,2,other,other,12,11,11
GP,M,15,U,GT3,T,3,4,services,services,9,9,9
GP,F,15,U,LE3,A,3,4,other,other,10,11,11
GP,M,16,R,GT3,T,4,4,teacher,teacher,14,14,15
GP,M,16,U,GT3,T,2,3,other,other,13,12,13
GP,F,15,R,GT3,T,3,4,services,teacher,10,11,12
GP,F,18,U,GT3,T,2,1,services,other,10,9,8
GP,F,17,U,LE3,A,2,1,other,other,11,10,11
GP,F,17,U,LE3,T,2,2,other,other,13,12,12
GP,F,16,U,GT3,A,3,4,services,other,15,13,14
GP,F,16,U,GT3,A,2,2,other,other,13,11,11
GP,M,18,U,LE3,T,3,1,services,services,11,11,12
GP,F,18,U,GT3,A,3,2,other,services,12,11,11
GP,F,16,R,GT3,T,1,1,other,services,12,11,11
GP,F,16,U,GT3,A,3,3,other,other,9,9,10
GP,M,16,U,LE3,T,1,1,services,other,10,10,10
GP,F,15,U,GT3,T,4,4,teacher,teacher,13,14,14
GP,F,15,R,GT3,T,1,1,other,other,8,9,9
GP,M,15,U,GT3,T,4,3,teacher,services,9,11,11
GP,F,15,U,GT3,A,3,3,services,services,9,8,9
GP,M,16,U,GT3,T,4,4,services,services,15,13,13
GP,M,16,U,LE3,T,2,2,services,services,12,11,11
GP,F,15,U,GT3,T,4,4,teacher,services,13,13,13
GP,M,17,U,GT3,T,2,1,other,other,9,7,6
GP,F,15,U,GT3,T,1,1,other,services,12,12,12
GP,F,15,U,GT3,T,3,2,health,services,11,11,11
GP,M,16,U,GT3,T,4,4,teacher,teacher,9,9,8
GP,M,15,U,LE3,A,2,1,services,other,12,11,11
GP,M,18,U,LE3,T,1,1,other,other,11,9,0
GP,F,15,R,GT3,T,3,3,services,services,13,13,13
GP,F,17,U,GT3,T,4,4,other,teacher,13,13,13
GP,M,17,R,LE3,T,1,2,other,other,9,8,10
GP,M,16,U,GT3,T,3,3,other,services,10,10,1
GP,M,16,U,LE3,T,1,2,health,services,9,8,10
GP,M,17,R,GT3,T,3,2,other,other,7,6,8
GP,M,15,U,LE3,T,1,2,other,other,8,9,10
GP,M,17,R,LE3,T,1,1,other,services,8,8,8
GP,M,17,U,GT3,T,3,2,services,services,8,7,8
