school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,G1,G2,G3
GP,M,19,R,GT3,T,3,2,at_home,services,11,10,10
GP,F,18,U,GT3,T,2,2,at_home,other,10,9,10
GP,F,17,R,GT3,T,2,4,at_home,other,15,15,15
GP,F,18,R,GT3,T,2,2,at_home,other,14,13,14
GP,F,18,U,GT3,T,2,3,at_home,other,11,12,14
GP,F,19,U,LE3,A,2,3,at_home,other,10,11,11
GP,M,21,R,LE3,T,1,1,at_home,other,9,10,10
GP,F,18,U,GT3,T,3,2,at_home,other,14,17,17
MS,F,16,U,GT3,T,1,3,at_home,other,10,11,11
MS,F,15,R,GT3,T,1,1,at_home,services,10,10,10
MS,F,15,R,GT3,T,3,3,at_home,other,10,10,11
MS,F,16,R,GT3,T,2,3,at_home,services,16,17,17
MS,F,15,R,LE3,T,2,1,at_home,other,6,8,9
MS,M,16,R,LE3,A,4,4,at_home,other,10,11,11
MS,F,17,R,GT3,T,3,2,at_home,other,10,10,10
MS,F,16,U,LE3,A,2,2,at_home,other,10,9,11
MS,F,15,R,LE3,T,1,1,at_home,services,10,10,10
MS,M,16,U,GT3,T,1,1,at_home,services,7,0,0
MS,F,15,U,GT3,T,2,1,at_home,other,9,10,9
MS,F,16,U,GT3,T,1,1,at_home,other,13,14,15
MS,M,17,R,LE3,T,1,2,at_home,services,10,11,11
MS,F,16,R,GT3,T,1,1,at_home,other,10,9,10
MS,F,15,R,GT3,T,1,1,at_home,other,11,10,11
MS,F,16,R,GT3,T,1,1,at_home,other,13,12,14
MS,M,16,R,GT3,T,1,1,at_home,other,11,11,11
MS,F,16,R,GT3,T,2,2,at_home,other,12,11,12
MS,M,16,U,LE3,T,2,1,at_home,services,10,8,10
MS,M,15,R,LE3,T,1,3,at_home,other,10,11,11
MS,F,16,R,GT3,T,1,1,at_home,other,7,7,8
MS,F,19,U,GT3,T,2,3,at_home,services,9,9,10
MS,F,17,R,GT3,T,2,1,at_home,other,9,10,11
MS,F,15,R,LE3,T,1,1,at_home,other,9,10,9
MS,F,17,R,GT3,T,2,2,at_home,other,11,10,11
MS,F,19,U,GT3,T,1,1,at_home,services,7,9,9
MS,F,16,R,LE3,T,1,2,at_home,other,8,9,9
MS,F,17,R,GT3,T,1,1,at_home,other,11,11,11
MS,F,20,U,GT3,T,3,3,at_home,services,11,9,10
MS,F,16,R,LE3,T,1,1,at_home,other,16,17,18
MS,F,18,R,GT3,T,1,1,at_home,other,7,7,7
MS,F,16,U,LE3,T,1,1,at_home,other,6,8,8
MS,F,16,R,GT3,T,2,3,at_home,services,8,10,10
MS,M,18,U,LE3,T,4,4,at_home,health,5,6,6
MS,F,16,R,LE3,T,3,4,at_home,other,7,9,8
MS,F,17,R,GT3,T,2,2,at_home,other,9,9,9
MS,M,17,U,GT3,T,1,1,at_home,services,10,10,10
MS,F,17,U,GT3,T,3,2,at_home,other,9,11,11
MS,M,16,R,LE3,T,1,1,at_home,other,10,10,9
MS,M,19,U,GT3,T,3,2,at_home,services,6,11,9
MS,M,19,U,GT3,T,2,1,at_home,other,8,9,9
MS,M,18,U,LE3,T,1,3,at_home,services,9,10,9
MS,F,18,U,GT3,A,1,2,at_home,other,6,8,8
MS,F,19,U,LE3,A,1,1,at_home,other,6,8,7
MS,F,17,R,GT3,T,0,0,at_home,other,10,11,11
MS,F,17,U,LE3,T,1,2,at_home,other,7,10,10
MS,F,18,U,LE3,A,1,2,at_home,other,12,13,14
MS,F,18,R,GT3,T,2,2,at_home,other,9,0,0
MS,M,18,U,LE3,T,1,2,at_home,services,10,11,11
MS,M,18,R,GT3,T,4,4,at_home,services,12,13,14
MS,F,18,U,GT3,T,1,1,at_home,services,9,10,10
MS,F,19,U,GT3,T,1,1,at_home,services,5,0,0
MS,F,18,U,LE3,A,1,1,at_home,services,8,10,11
MS,F,18,U,LE3,T,1,1,at_home,services,19,17,18
MS,F,18,R,LE3,A,1,2,at_home,other,16,15,15
MS,M,18,R,GT3,T,1,3,at_home,other,8,10,9
MS,F,18,U,GT3,T,2,3,at_home,services,10,10,10
MS,M,18,R,LE3,T,1,2,at_home,services,9,10,10
MS,F,19,R,GT3,T,1,1,at_home,other,7,8,9
MS,F,17,R,GT3,T,3,1,at_home,other,8,9,9
MS,F,18,R,GT3,T,2,2,at_home,other,14,17,15
